state,district,time,metric_type,value,source
Tamil Nadu,Kanniyakumari,2025-09,aadhaar_demographic_update,7201,UIDAI
Tamil Nadu,Kanniyakumari,2025-10,aadhaar_demographic_update,5098,UIDAI
Tamil Nadu,Kanniyakumari,2025-11,aadhaar_demographic_update,8871,UIDAI
Tamil Nadu,Kanniyakumari,2025-12,aadhaar_demographic_update,7500,UIDAI
Tamil Nadu,Kanniyakumari,2026-01,aadhaar_demographic_update,540,UIDAI
Tamil Nadu,Kanyakumari,2025-03,aadhaar_demographic_update,6501,UIDAI
Tamil Nadu,Kanyakumari,2025-09,aadhaar_demographic_update,3653,UIDAI
Tamil Nadu,Kanyakumari,2025-10,aadhaar_demographic_update,2492,UIDAI
Tamil Nadu,Kanyakumari,2025-11,aadhaar_demographic_update,5575,UIDAI
Tamil Nadu,Kanyakumari,2025-12,aadhaar_demographic_update,4786,UIDAI
Tamil Nadu,Kanyakumari,2026-01,aadhaar_demographic_update,377,UIDAI
Tamil Nadu,Karur,2025-03,aadhaar_demographic_update,7287,UIDAI
Tamil Nadu,Karur,2025-04,aadhaar_demographic_update,1231,UIDAI
Tamil Nadu,Karur,2025-05,aadhaar_demographic_update,894,UIDAI
Tamil Nadu,Karur,2025-09,aadhaar_demographic_update,5002,UIDAI
Tamil Nadu,Karur,2025-10,aadhaar_demographic_update,2948,UIDAI
Tamil Nadu,Karur,2025-11,aadhaar_demographic_update,7533,UIDAI
Tamil Nadu,Karur,2025-12,aadhaar_demographic_update,6635,UIDAI
Tamil Nadu,Karur,2026-01,aadhaar_demographic_update,458,UIDAI
Tamil Nadu,Krishnagiri,2025-03,aadhaar_demographic_update,19063,UIDAI
Tamil Nadu,Krishnagiri,2025-04,aadhaar_demographic_update,1854,UIDAI
Tamil Nadu,Krishnagiri,2025-05,aadhaar_demographic_update,3846,UIDAI
Tamil Nadu,Krishnagiri,2025-06,aadhaar_demographic_update,4192,UIDAI
Tamil Nadu,Krishnagiri,2025-07,aadhaar_demographic_update,3905,UIDAI
Tamil Nadu,Krishnagiri,2025-09,aadhaar_demographic_update,10534,UIDAI
Tamil Nadu,Krishnagiri,2025-10,aadhaar_demographic_update,6492,UIDAI
Tamil Nadu,Krishnagiri,2025-11,aadhaar_demographic_update,14860,UIDAI
Tamil Nadu,Krishnagiri,2025-12,aadhaar_demographic_update,14490,UIDAI
Tamil Nadu,Krishnagiri,2026-01,aadhaar_demographic_update,910,UIDAI
Tamil Nadu,Madurai,2025-03,aadhaar_demographic_update,27060,UIDAI
Tamil Nadu,Madurai,2025-04,aadhaar_demographic_update,12646,UIDAI
Tamil Nadu,Madurai,2025-05,aadhaar_demographic_update,5552,UIDAI
Tamil Nadu,Madurai,2025-06,aadhaar_demographic_update,1033,UIDAI
Tamil Nadu,Madurai,2025-09,aadhaar_demographic_update,16962,UIDAI
Tamil Nadu,Madurai,2025-10,aadhaar_demographic_update,11060,UIDAI
Tamil Nadu,Madurai,2025-11,aadhaar_demographic_update,27019,UIDAI
Tamil Nadu,Madurai,2025-12,aadhaar_demographic_update,23171,UIDAI
Tamil Nadu,Madurai,2026-01,aadhaar_demographic_update,1547,UIDAI
Tamil Nadu,Mayiladuthurai,2025-03,aadhaar_demographic_update,298,UIDAI
Tamil Nadu,Mayiladuthurai,2025-09,aadhaar_demographic_update,740,UIDAI
Tamil Nadu,Mayiladuthurai,2025-10,aadhaar_demographic_update,494,UIDAI
Tamil Nadu,Mayiladuthurai,2025-11,aadhaar_demographic_update,1372,UIDAI
Tamil Nadu,Mayiladuthurai,2025-12,aadhaar_demographic_update,1506,UIDAI
Tamil Nadu,Mayiladuthurai,2026-01,aadhaar_demographic_update,75,UIDAI
Tamil Nadu,Nagapattinam,2025-03,aadhaar_demographic_update,3487,UIDAI
Tamil Nadu,Nagapattinam,2025-09,aadhaar_demographic_update,9849,UIDAI
Tamil Nadu,Nagapattinam,2025-10,aadhaar_demographic_update,5566,UIDAI
Tamil Nadu,Nagapattinam,2025-11,aadhaar_demographic_update,11373,UIDAI
Tamil Nadu,Nagapattinam,2025-12,aadhaar_demographic_update,11553,UIDAI
Tamil Nadu,Nagapattinam,2026-01,aadhaar_demographic_update,612,UIDAI
Tamil Nadu,Namakkal,2025-03,aadhaar_demographic_update,10699,UIDAI
Tamil Nadu,Namakkal,2025-04,aadhaar_demographic_update,1295,UIDAI
Tamil Nadu,Namakkal,2025-09,aadhaar_demographic_update,9215,UIDAI
Tamil Nadu,Namakkal,2025-10,aadhaar_demographic_update,6172,UIDAI
Tamil Nadu,Namakkal,2025-11,aadhaar_demographic_update,13744,UIDAI
Tamil Nadu,Namakkal,2025-12,aadhaar_demographic_update,11988,UIDAI
Tamil Nadu,Namakkal,2026-01,aadhaar_demographic_update,735,UIDAI
Tamil Nadu,Nilgiris,2025-11,aadhaar_demographic_update,1,UIDAI
Tamil Nadu,Perambalur,2025-03,aadhaar_demographic_update,4694,UIDAI
Tamil Nadu,Perambalur,2025-09,aadhaar_demographic_update,3422,UIDAI
Tamil Nadu,Perambalur,2025-10,aadhaar_demographic_update,2031,UIDAI
Tamil Nadu,Perambalur,2025-11,aadhaar_demographic_update,4669,UIDAI
Tamil Nadu,Perambalur,2025-12,aadhaar_demographic_update,4509,UIDAI
Tamil Nadu,Perambalur,2026-01,aadhaar_demographic_update,257,UIDAI
Tamil Nadu,Pudukkottai,2025-03,aadhaar_demographic_update,19069,UIDAI
Tamil Nadu,Pudukkottai,2025-09,aadhaar_demographic_update,11299,UIDAI
Tamil Nadu,Pudukkottai,2025-10,aadhaar_demographic_update,6141,UIDAI
Tamil Nadu,Pudukkottai,2025-11,aadhaar_demographic_update,14075,UIDAI
Tamil Nadu,Pudukkottai,2025-12,aadhaar_demographic_update,12732,UIDAI
Tamil Nadu,Pudukkottai,2026-01,aadhaar_demographic_update,781,UIDAI
Tamil Nadu,Ramanathapuram,2025-03,aadhaar_demographic_update,11473,UIDAI
Tamil Nadu,Ramanathapuram,2025-09,aadhaar_demographic_update,7438,UIDAI
Tamil Nadu,Ramanathapuram,2025-10,aadhaar_demographic_update,4837,UIDAI
Tamil Nadu,Ramanathapuram,2025-11,aadhaar_demographic_update,10357,UIDAI
Tamil Nadu,Ramanathapuram,2025-12,aadhaar_demographic_update,9341,UIDAI
Tamil Nadu,Ramanathapuram,2026-01,aadhaar_demographic_update,505,UIDAI
Tamil Nadu,Ranipet,2025-03,aadhaar_demographic_update,109,UIDAI
Tamil Nadu,Ranipet,2025-09,aadhaar_demographic_update,330,UIDAI
Tamil Nadu,Ranipet,2025-10,aadhaar_demographic_update,238,UIDAI
Tamil Nadu,Ranipet,2025-11,aadhaar_demographic_update,712,UIDAI
Tamil Nadu,Ranipet,2025-12,aadhaar_demographic_update,607,UIDAI
Tamil Nadu,Ranipet,2026-01,aadhaar_demographic_update,30,UIDAI
Tamil Nadu,Salem,2025-03,aadhaar_demographic_update,28192,UIDAI
Tamil Nadu,Salem,2025-09,aadhaar_demographic_update,20563,UIDAI
Tamil Nadu,Salem,2025-10,aadhaar_demographic_update,12099,UIDAI
Tamil Nadu,Salem,2025-11,aadhaar_demographic_update,27998,UIDAI
Tamil Nadu,Salem,2025-12,aadhaar_demographic_update,27190,UIDAI
Tamil Nadu,Salem,2026-01,aadhaar_demographic_update,1582,UIDAI
Tamil Nadu,Sivaganga,2025-03,aadhaar_demographic_update,10609,UIDAI
Tamil Nadu,Sivaganga,2025-04,aadhaar_demographic_update,1391,UIDAI
Tamil Nadu,Sivaganga,2025-09,aadhaar_demographic_update,6817,UIDAI
Tamil Nadu,Sivaganga,2025-10,aadhaar_demographic_update,3909,UIDAI
Tamil Nadu,Sivaganga,2025-11,aadhaar_demographic_update,10800,UIDAI
Tamil Nadu,Sivaganga,2025-12,aadhaar_demographic_update,9410,UIDAI
Tamil Nadu,Sivaganga,2026-01,aadhaar_demographic_update,562,UIDAI
Tamil Nadu,Tenkasi,2025-03,aadhaar_demographic_update,2333,UIDAI
Tamil Nadu,Tenkasi,2025-09,aadhaar_demographic_update,1939,UIDAI
Tamil Nadu,Tenkasi,2025-10,aadhaar_demographic_update,1192,UIDAI
Tamil Nadu,Tenkasi,2025-11,aadhaar_demographic_update,3664,UIDAI
Tamil Nadu,Tenkasi,2025-12,aadhaar_demographic_update,3093,UIDAI
Tamil Nadu,Tenkasi,2026-01,aadhaar_demographic_update,177,UIDAI
Tamil Nadu,Thanjavur,2025-03,aadhaar_demographic_update,19326,UIDAI
Tamil Nadu,Thanjavur,2025-04,aadhaar_demographic_update,634,UIDAI
Tamil Nadu,Thanjavur,2025-09,aadhaar_demographic_update,14773,UIDAI
Tamil Nadu,Thanjavur,2025-10,aadhaar_demographic_update,8563,UIDAI
Tamil Nadu,Thanjavur,2025-11,aadhaar_demographic_update,19503,UIDAI
Tamil Nadu,Thanjavur,2025-12,aadhaar_demographic_update,17867,UIDAI
Tamil Nadu,Thanjavur,2026-01,aadhaar_demographic_update,940,UIDAI
Tamil Nadu,The Nilgiris,2025-03,aadhaar_demographic_update,1736,UIDAI
Tamil Nadu,The Nilgiris,2025-09,aadhaar_demographic_update,3072,UIDAI
Tamil Nadu,The Nilgiris,2025-10,aadhaar_demographic_update,2062,UIDAI
